id	name	ancestors	
dl3eu07DWqF	Sở Y Tế Quảng Ngãi	Việt Nam/Quảng Ngãi	
DLladnVm6r6	Phòng bảo vệ sức khỏe cán bộ	Việt Nam/Thừa Thiên Huế	
DLz4OaNQHDA	Huyện Thuận Châu	Việt Nam/Sơn La	
dM0vgcqyoDd	Quận Tây Hồ	Việt Nam/Hà Nội	
DM5fhqof3tc	Bệnh viện Lao và Bệnh phổi	Việt Nam/Bến Tre	
dmDbZyNs9te	Huyện Hải Lăng	Việt Nam/Quảng Trị	
dmH0lt9pVpj	Bệnh viện đa khoa Ngã Tư Hồ	Việt Nam/Bắc Ninh	
dmHwvX1TYxQ	BVĐK Tâm Đức Cầu Quan	Việt Nam/Thanh Hóa	
dmTCKfkqDIy	Huyện Mỹ Hào	Việt Nam/Hưng Yên	
dnRSYntImDb	Bệnh viện Mắt	Việt Nam/Quảng Trị	
dnVw1o70TjF	Huyện Đất Đỏ	Việt Nam/Bà Rịa - Vũng Tàu	
DNZhefA7ZS9	Phòng khám ĐK Quốc tế Sỹ Mỹ Taekwang 2	Việt Nam/Đồng Nai	
DO8IBXV7ony	Bệnh viện Đa khoa Quốc tế Hoàn Mỹ Thủ Đức	Việt Nam/Hồ Chí Minh	
DoBXbXqvP1O	Bệnh viện tư nhân Bình An	Việt Nam/Kiên Giang	
dOKgHfmP5mG	Quận Hoàng Mai	Việt Nam/Hà Nội	
dpdIyCmiIxT	Huyện Thạch Thành	Việt Nam/Thanh Hóa	
dPmhHZ6y5da	Bệnh viện Đa Khoa Khu vực Thủ Đức	Việt Nam/Hồ Chí Minh	
dQ9tDlKn3i1	Huyện Ngọc Hiển	Việt Nam/Cà Mau	
DQMVhqtBQMW	Bệnh viện Hữu nghị Việt Nam - Cu Ba Đồng Hới	Việt Nam/Các đơn vị trực thuộc Bộ	
DrfYFJjVBJK	Bệnh viện sức khỏe Tâm Thần	Việt Nam/Bắc Ninh	
DrhIcSGIWcX	Bệnh viện Tim Tâm Đức	Việt Nam/Hồ Chí Minh	
dsArJK1GebP	Trung tâm Kiểm soát bệnh tật	Việt Nam/An Giang	
DSh4Yk7vgYb	Bệnh viện Y học cổ truyền 	Việt Nam/Nam Định	
dSH9WHFlmc8	Bệnh viện TM KangNam	Việt Nam/Hồ Chí Minh	
dsKBMIJsymb	Bệnh viện đa khoa tỉnh	Việt Nam/Hà Tĩnh	
dT0Q0FCy4vq	Huyện Thuỷ Nguyên	Việt Nam/Hải Phòng	
DTd8SDjTx91	Huyện Thuận Bắc	Việt Nam/Ninh Thuận	
Dte1HAmpJ6m	Bệnh viện Đa khoa tỉnh 	Việt Nam/Quảng Ngãi	
Dtel2ziBhl8	Bệnh viện Mắt Hà Nội	Việt Nam/Hà Nội	
dTfyW1jG7dZ	Bệnh viện Đa khoa tỉnh 	Việt Nam/Kon Tum	
dtX8NVqXKG7	Huyện Vĩnh Hưng	Việt Nam/Long An	
dTxIu7yc5r4	Huyện Tiền Hải	Việt Nam/Thái Bình	
DUOTFXl48ol	Huyện Thanh Sơn	Việt Nam/Phú Thọ	
dUYPrNrSD1B	Bệnh viện Quân Dân y tỉnh Cà Mau	Việt Nam/Cà Mau	
DvguczqwpC9	Trường Cao đẳng Y tế Ninh Bình	Việt Nam/Ninh Bình	
dWEpMZy5TKj	Viện y dược học dân tộc	Việt Nam/Hồ Chí Minh	
dWmfHw8HiET	Thị xã Hòa Thành	Việt Nam/Tây Ninh	
DWnOeKFo5ij	Trung tâm Kiểm soát bệnh tật tỉnh	Việt Nam/Bắc Ninh	
dXSBIWkpQm5	Thành phố Nam Định	Việt Nam/Nam Định	
DxU19MoP6Gm	Huyện Văn Bàn	Việt Nam/Lào Cai	
DyeTFXkQvqj	Huyện Bình Đại	Việt Nam/Bến Tre	
dykg1wIMftX	Huyện Lâm Bình	Việt Nam/Tuyên Quang	
dYkLNAnoeu1	Thành phố Phan Rang-Tháp Chàm	Việt Nam/Ninh Thuận	
DYmj4Rqj9sB	Trung tâm Kiểm nghiệm thuốc, mỹ phẩm, thực phẩm 	Việt Nam/Kon Tum	
DyU6WGrjnNi	Chi cục Dân số KHHGĐ 	Việt Nam/Sơn La	
dZJxLm7V45R	Bệnh viện Y Dược Cổ truyền	Việt Nam/Hà Giang	
dzsy8GwRXpF	Bệnh viện mắt Long Xuyên	Việt Nam/An Giang	
DzVhyG8XzDc	Thị Xã Sơn Tây	Việt Nam/Hà Nội	
e0P2hTJx7Cl	Trung tâm kiểm nghiệm thuốc, MP, TP	Việt Nam/Hưng Yên	
e12yXYVLEDM	Bệnh viện Phạm Ngọc Thạch	Việt Nam/Hồ Chí Minh	
e1hPR0nANpT	Bệnh viện An Sinh	Việt Nam/Hồ Chí Minh	
e4AZBw4SeTn	Huyện Sơn Hòa	Việt Nam/Phú Yên	
E4c362MSPo0	Quận Nam Từ Liêm	Việt Nam/Hà Nội	
E5d5x4QX4Ex	Chi cục Dân số - KHHGĐ		Việt Nam/Nghệ An
e6gXQLkBYwn	Trung tâm Pháp Y	Việt Nam/Vĩnh Phúc	
e6kZVkqnlZv	Bệnh viện Tâm thần	Việt Nam/Long An	
E71qIC6vPp1	Sở Y tế	Việt Nam/Hải Phòng	
E8ikchQADoR	Trung tâm Kiểm soát bệnh tật Thái Bình (CDC)	Việt Nam/Thái Bình	
ea60JexSbhz	Huyện Cát Tiên	Việt Nam/Lâm Đồng	
EAMJ2xURxe9	Huyện Trà Cú	Việt Nam/Trà Vinh	
eaRrK3LtGyP	Huyện Ba Chẽ	Việt Nam/Quảng Ninh	
Eatns7xySJN	Huyện Lệ Thủy	Việt Nam/Quảng Bình	
eavsY2gepWb	Bệnh viện Y dược cổ truyền	Việt Nam/Vĩnh Long	
eB2vgvqhpkc	Bệnh viện Nội tiết 	Việt Nam/Nam Định	
ebcKMMFbNLr	Trung tâm Giám định y khoa	Việt Nam/Thái Bình	
EC2J411wE9G	Huyện Phù Cát	Việt Nam/Bình Định	
ECP3Welwv7R	Chi cục Dân số - Kế hoạch hoá gia đình	Việt Nam/Hải Dương	
ECSx2uogOHC	Huyện Cao Phong	Việt Nam/Hòa Bình	
ECt5Mk6tA6o	Phòng khám ĐK Phụ sản Nhi- Sài Gòn	Việt Nam/Đồng Nai	
eddEjbg29Rv	Bệnh viện Bệnh nhiệt đới	Việt Nam/Hưng Yên	
EDe509yMnx7	Bệnh viện đa khoa Thăng Hoa	Việt Nam/Quảng Nam	
EEgw1vnHLgq	Huyện Tân Lạc	Việt Nam/Hòa Bình	
eEV96anG78W	Bệnh viện đa khoa Sài Gòn - Hà Tĩnh	Việt Nam/Hà Tĩnh	
EFDxzxx5rY1	Bệnh Viện Y Học Cổ Truyền 	Việt Nam/Ninh Bình	
efk7DQqubfC	Viện Pháp y Tâm thần Trung ương Biên Hòa	Việt Nam/Các đơn vị trực thuộc Bộ	
efkoLlzksXz	Trung tâm Mắt	Việt Nam/Quảng Ngãi	
efvfXCKRJil	Bệnh viện Tâm thần Trung ương 1	Việt Nam/Các đơn vị trực thuộc Bộ	
egb8Jv7DEpt	Sở Y Tế Ninh Thuận	Việt Nam/Ninh Thuận	
EgFeUkB7xDY	Huyện Đắk Mil	Việt Nam/Đắk Nông	
EGneFix1tLE	Huyện Kim Động	Việt Nam/Hưng Yên	
eGPk5Qq0XZO	Sở Y tế Bình Dương	Việt Nam/Bình Dương	
Eh1dEfw9sfx	Huyện Trần Văn Thời	Việt Nam/Cà Mau	
EhznY2KxS83	Quận 7	Việt Nam/Hồ Chí Minh	
EiZWEgdKEbz	Bệnh viện ĐKKV Nam Lý	Việt Nam/Hà Nam	
ejLN7xPBRkQ	Huyện Thanh Liêm	Việt Nam/Hà Nam	
EJvfGCOZV4D	Huyện Nhà Bè	Việt Nam/Hồ Chí Minh	
ejvhR7dPCSU	Bệnh viện Mắt Việt Hàn	Việt Nam/Hồ Chí Minh	
ejxbKzw4khH	Bệnh viện Lê Lợi	Việt Nam/Bà Rịa - Vũng Tàu	
ekcGYUyAKea	Bệnh viện Đa khoa Sơn Uyên	Việt Nam/Bắc Giang	
EkdBJD9Qx7K	Bệnh viện Mắt	Việt Nam/Hà Nam	
ekI7vnPpWDu	Trung tâm Kiểm nghiệm Thuốc - Mỹ phẩm - Thực phẩm	Việt Nam/Điện Biên	
EKUks5Ma5bG	Trường Đại học Y Dược TPHCM	Việt Nam/Hồ Chí Minh	
EL7uvxioUNM	Trung tâm Truyền thông  Giáo dục sức khỏe (Sáp nhập 2020)	Việt Nam/Bình Dương	
elokG9I5HrY	Huyện Anh Sơn	Việt Nam/Nghệ An	
eLQjgOAUFqp	Bệnh viện Thanh Nhàn	Việt Nam/Hà Nội	
eMFQIPxSiDE	Trung tâm Kiểm nghiệm tỉnh Lào Cai	Việt Nam/Lào Cai	
EmFWGj1qbky	Bệnh viện QT Columbia Asia Gia Định	Việt Nam/Hồ Chí Minh	
EMKvyWEDpQ8	Chi cục ATVSTP	Việt Nam/Lạng Sơn	
EmW2hG0eKSM	Bệnh viện chuyên khoa Lao và bệnh phổi tỉnh Quảng Trị	Việt Nam/Quảng Trị	
eN2n53HuB5j	Phòng khám ĐK Y Dược Miền Đông Sài Gòn	Việt Nam/Đồng Nai	
eNEeE1HMxV5	Phòng khám ĐK Sài Gòn Long Khánh	Việt Nam/Đồng Nai	
EnpCqpVJKqI	Sở Y tế Hà Tĩnh	Việt Nam/Hà Tĩnh	
Eo8Mvo7Aabw	Bệnh viện  Lao & Bệnh phổi	Việt Nam/Bình Định	
eOa65RFrRo3	Trung tâm Chăm sóc sức khỏe sinh sản (Sáp nhập 2020)	Việt Nam/Hậu Giang	
eOcnaARlbkl	Chi cục Dân số - KHHGĐ 	Việt Nam/Quảng Ngãi	
EOE2RqVZM17	Bệnh viện đa khoa khu vực Ninh Hòa	Việt Nam/Khánh Hòa	
eOOxohxQyHD	Huyện Cù Lao Dung	Việt Nam/Sóc Trăng	
EOqbpHV20lo	Huyện Phú Riềng	Việt Nam/Bình Phước	
EORZZyUVIyK	Huyện Duy Tiên	Việt Nam/Hà Nam	
EOYskgYPqmr	Huyện Đoan Hùng	Việt Nam/Phú Thọ	
EPUIpARGP4A	Phòng khám ĐK Y Sài Gòn	Việt Nam/Đồng Nai	
EQ6d7196Sbv	Bệnh viện Mắt - Răng Hàm Mặt	Việt Nam/Cần Thơ	
eqdo6K39hcK	Trung tâm Y tế Dự Phòng 	Việt Nam/Hải Phòng	
Eqj1U3kAtbZ	Trung tâm Kiểm nghiệm Thuốc-Mỹ phẩm-Thực phẩm	Việt Nam/Hải Dương	
EQK6Ut9Lfkg	Bệnh viện Truyền máu Huyết học	Việt Nam/Hồ Chí Minh	
ErsRyBLnfXb	Bệnh viện Xây dựng Việt Trì	Việt Nam/Phú Thọ	
erVVbQ1KzgZ	Sở Y tế	Việt Nam/Hà Nam	
ESINtvQvSQm	Huyện Vân Canh	Việt Nam/Bình Định	
Esk9nnxdVCs	Bệnh viện Tâm Thần	Việt Nam/Bà Rịa - Vũng Tàu	
EsNK5JvZADh	Trung tâm cấp cứu 115	Việt Nam/Thái Bình	
eT1k3eDgPRu	Bệnh viện đa khoa khu vực Nghĩa Lộ	Việt Nam/Yên Bái	
eT4rYDrzjwC	Bệnh viện Mắt Sài Gòn	Việt Nam/Nghệ An	
EtFgOZOZgDF	Thành phố Buôn Ma Thuột	Việt Nam/Đắk Lắk	
etIR7CTwq1V	Huyện Đức Hòa	Việt Nam/Long An	
ETupdvLuNWL	Bệnh viện Phổi	Việt Nam/Long An	
eU77lA51l4W	Trung tâm Phòng chống Sốt rét KST và CT (Sáp nhập 2020)	Việt Nam/Ninh Thuận	
eUtW28oPieV	Huyện Quan Sơn	Việt Nam/Thanh Hóa	
EVXqUHr68g6	Huyện Mỹ Tú	Việt Nam/Sóc Trăng	
EWDsMzb2yF8	Thành phố Vị Thanh	Việt Nam/Hậu Giang	
eWo7jClAZtf	Bệnh viện ĐKKV Hòa Phú	Việt Nam/Vĩnh Long	
EWoYMWFimpJ	Bệnh viện Sản nhi tỉnh Phú Thọ	Việt Nam/Phú Thọ	
ewvtT9rGLAu	Huyện Đan Phượng	Việt Nam/Hà Nội	
eWxu4Z7yiNU	Thị xã Hương Trà	Việt Nam/Thừa Thiên Huế	
EX9h7KQhx2O	Huyện Chợ Mới	Việt Nam/An Giang	
exDq0RLzN0H	Trung tâm Truyền thông - Giáo dục sức khỏe	Việt Nam/Phú Yên	
eYE6LErON7C	Thị xã Đức Phổ	Việt Nam/Quảng Ngãi	
ezpswEGbtVl	Trung tâm Giám định Y khoa	Việt Nam/Bình Định	
ezv9LFunMal	Huyện Mường Tè	Việt Nam/Lai Châu	
f03K7iOgCgZ	Huyện Trấn Yên	Việt Nam/Yên Bái	
f05aspFpAOZ	Quận Cẩm Lệ	Việt Nam/Đà Nẵng	
F0ioBqN5ZNt	Bệnh viện đa khoa tỉnh	Việt Nam/Bình Phước	
f0OSIXSXxhU	Huyện Thạch Hà	Việt Nam/Hà Tĩnh	
F12xiML1gta	Bệnh viện Đa khoa Khu vực La Gi	Việt Nam/Bình Thuận	
f1KpfldwJCt	Huyện Tân Hồng	Việt Nam/Đồng Tháp	
F2E4CIWzCQi	Trường Đại học Trà Vinh	Việt Nam/Trà Vinh	
F2QS28DfOW5	Bệnh viện Phục hồi chức năng	Việt Nam/Hà Giang	
F45W04Jrit3	Huyện Đắk Song	Việt Nam/Đắk Nông	
f4aRIosWkIw	Bệnh viện Chuyên khoa Da liễu – Tâm thần	Việt Nam/Ninh Thuận	
F69xF0hBN8o	Thị xã Cai Lậy	Việt Nam/Tiền Giang	
f7mKWjb3owq	Trung tâm Kiểm soát bệnh tật 	Việt Nam/Kiên Giang	
f9AkXND5lRS	Phòng khám ĐK Sài Gòn Tam Phước 	Việt Nam/Đồng Nai	
F9mno8ac4IS	Trung tâm Pháp y Tâm thần kv Miền núi phía Bắc	Việt Nam/Các đơn vị trực thuộc Bộ	
FaDRnlTwvSd	Sở y tế Đồng Tháp	Việt Nam/Đồng Tháp	
fAHkTQXNwlL	Thị xã Ba Đồn	Việt Nam/Quảng Bình	
FB8FjH0AbXF	Huyện Hậu Lộc	Việt Nam/Thanh Hóa	
fcaux1mY1m4	Chi cục Dân số - Kế hoạch hóa gia đình	Việt Nam/Đắk Nông	
fCLSGWJTQlD	Trường Trung cấp Y tế	Việt Nam/Bà Rịa - Vũng Tàu	
FDcSaogvLy5	Thành phố Thái Nguyên	Việt Nam/Thái Nguyên	
FddRNzTEa3A	Bệnh viện Quốc tế Sản Nhi Hải Phòng	Việt Nam/Hải Phòng	
FDLAhaKXXhj	Huyện Bảo Yên	Việt Nam/Lào Cai	
FDSgfvvZ4Ez	Huyện Trà Bồng	Việt Nam/Quảng Ngãi	
fdXKps0fUM1	Bệnh viện Y học Cổ truyền 	Việt Nam/Lạng Sơn	
fEn4ZAfSC6v	Huyện Than Uyên	Việt Nam/Lai Châu	
fEQCQdCKqGr	Bệnh viện Mắt	Việt Nam/Quảng Nam	
FfiF4FS6F2Q	Huyện Ea H'leo	Việt Nam/Đắk Lắk	
FFNCZY2vTcb	Bệnh viện lao và bệnh phổi	Việt Nam/Yên Bái	
fFRMcfC1RyR	Bệnh viện Tâm thần Hà Nội	Việt Nam/Hà Nội	
FgdpMgRqGeL	Huyện Cồn Cỏ	Việt Nam/Quảng Trị	
fGZMEN3FhU5	Huyện Mai Châu	Việt Nam/Hòa Bình	
FgZp2ORAEqn	Trường Cao đẳng Y tế	Việt Nam/Trà Vinh	
fH45GTcFmdA	Bệnh viện Đa khoa vùng Tây Nguyên	Việt Nam/Đắk Lắk	
FHkgQ3TxjPj	Huyện Thanh Thuỷ	Việt Nam/Phú Thọ	
fhNft0Dbi8B	Huyện Điện Biên	Việt Nam/Điện Biên	
fHURgb2rdtN	Bệnh viện đa khoa Đống Đa	Việt Nam/Hà Nội	
FHV4IbQiQRW	Huyện Chợ Đồn	Việt Nam/Bắc Kạn	
FHW1ExHMOaa	Bệnh viện PTTHTM Hiệp Lợi	Việt Nam/Hồ Chí Minh	
FHZZ5Bs6hWX	Bệnh viện đa khoa khu vực Tân Châu	Việt Nam/An Giang	
fiBn2QVBiwI	Trung tâm Kiểm nghiệm thuốc, Mỹ phẩm, Thực phẩm tỉnh Cà Mau	Việt Nam/Cà Mau	
fioljB0Q3jE	Bệnh viện Hoàn Mỹ Minh Hải	Việt Nam/Cà Mau	
FIUYwkyRr7i	Bệnh viện ĐK Mỹ Đức	Việt Nam/Hồ Chí Minh	
fj298MKPD9V	Bệnh viện Ung bướu Hà Nội	Việt Nam/Hà Nội	
fJzDlP3Lmg8	Phòng khám ĐK Hồng Ngọc	Việt Nam/Hải Phòng	
Fk8sCUv41d9	Bệnh viện Mắt – Da liễu tỉnh Cà Mau	Việt Nam/Cà Mau	
FkFaKRmfAYe	Bệnh viện YDCT-PHCN	Việt Nam/Gia Lai	
fKIM4Koi34v	Trung tâm Kiểm soát bệnh tật	Việt Nam/Đồng Nai	
fKPpmliKfnk	Thành phố Lai Châu	Việt Nam/Lai Châu	
Fkr4oH95Erk	Vụ TTB & CTYT	Việt Nam/Các đơn vị thuộc Bộ	
fKsWJJut08H	Trung tâm Kiểm dịch y tế Quốc tế	Việt Nam/Lạng Sơn	
fL8X5gz7qWK	Phòng khám ĐK Nguyễn An Phúc	Việt Nam/Đồng Nai	
Flm8mgK92a3	Huyện Tân Phước	Việt Nam/Tiền Giang	
flR2JQ1Jp5U	Trung tâm chăm sóc sức khỏe cán bộ	Việt Nam/Hưng Yên	
FMk6jJ6sBZW	Bệnh viện Tâm Thần 	Việt Nam/Thái Bình	
FmnNzgZz6Ke	Chi cục An toàn vệ sinh thực phẩm	Việt Nam/Ninh Thuận	
FmqE9JvitM2	Trung tâm Pháp y 	Việt Nam/Nam Định	
FmQzM0543Lx	Trường Cao Đẳng Vĩnh Long	Việt Nam/Vĩnh Long	
fmx5uxxTHXd	Bệnh viện Mắt Sài Gòn II	Việt Nam/Hồ Chí Minh	
fNnYieBbdjN	Bệnh viện Phổi	Việt Nam/Bắc Ninh	
FNVPuefRo6J	Bệnh viện Tâm thần  	Việt Nam/Kiên Giang	
Fo3LeIqCsYS	Bệnh viện Phong và Da Liễu	Việt Nam/Thừa Thiên Huế	
FO4bNa4WvhS	BVĐK An Phú	Việt Nam/Bình Dương	
foGE6cmv3lK	Trung tâm Pháp y Tâm thần Khu vực Tây Nam Bộ	Việt Nam/Các đơn vị trực thuộc Bộ	
foUieLxOQoV	Huyện Hớn Quản	Việt Nam/Bình Phước	
fPWtS0S4jGJ	Trung tâm Giám định y khoa 	Việt Nam/Kon Tum	
fqc5WzhLCer	Thành phố Cẩm Phả	Việt Nam/Quảng Ninh	
fqkvOPI4mUB	BVĐK Quốc tế Columbia Asia Bình Dương	Việt Nam/Bình Dương	
FqmRrCEUWdB	BV Đa khoa An Phát	Việt Nam/Nghệ An	
fQyaZhVdSdH	Bệnh viện Tâm Thần	Việt Nam/Nghệ An	
fRpb4hK3mGq	Trung tâm Kiểm soát bệnh tật	Việt Nam/Tây Ninh	
fRuzG0BaSVK	Bệnh viện đa khoa Hoàn Mỹ Đà Nẵng	Việt Nam/Đà Nẵng	
FsbwSNElIx0	Phòng khám ĐK Hùng Vương	Việt Nam/Hải Phòng	
fShfnVd8TYG	Trung tâm kiểm nghiệm thuốc, mỹ phẩm, thực phẩm Hà Nội	Việt Nam/Hà Nội	
FSIhxQbWVFE	Bệnh viện Triều An	Việt Nam/Hồ Chí Minh	
fsUeLWwU1We	Bệnh viện đa khoa khu vực Long Thành	Việt Nam/Đồng Nai	
FtlXlvyCHsc	Bệnh viện đa khoa Sóc Sơn	Việt Nam/Hà Nội	
FuJblROL3tC	Phòng khám ĐK Quốc tế	Việt Nam/Ninh Thuận	
FV6Da32Z4pP	Bảo hiểm Xã hội tỉnh An Giang	Việt Nam/An Giang	
fVFgSLSbYeQ	Bệnh viện Phục hồi chức năng	Việt Nam/Nam Định	
FvIGmY1tR58	Phòng khám ĐK số 8 Lán Bè	Việt Nam/Hải Phòng	
fVLwK7QHXCP	Huyện Thoại Sơn	Việt Nam/An Giang	
fVm15gRDzHT	Huyện Trực Ninh	Việt Nam/Nam Định	
fvpsCqdy5iq	Sở Y tế TPHCM	Việt Nam/Hồ Chí Minh	
fVWmRVuuDi4	Huyện Nam Đông	Việt Nam/Thừa Thiên Huế	
FVWThA4SSYx	Bệnh viện Quân Dân y	Việt Nam/Kiên Giang	
FWBUl95oTds	Trường Cao đẳng y tế	Việt Nam/Điện Biên	
fWUJ1yRMd8b	Quận Ninh Kiều	Việt Nam/Cần Thơ	
Fx6rZjRPuHH	Chi cục Dân số - Kế hoạch hóa gia đình	Việt Nam/Cao Bằng	
FxF7p8PaKbR	Huyện Trà Lĩnh (sáp nhập 2020)	Việt Nam/Cao Bằng	
FXOgLGQJ08m	Bệnh viện phục hồi chức năng 	Việt Nam/Thanh Hóa	
FyEjgXeMT8i	Bệnh viện Đa khoa tỉnh 	Việt Nam/Thái Bình	
FyEQDzI0YME	Trung tâm Pháp y và Giám định Y khoa Hà Tĩnh	Việt Nam/Hà Tĩnh	
FZ2wsI64G9R	Huyện Tuần Giáo	Việt Nam/Điện Biên	
G0Ck0NMCpwm	Chi cục DS KHHGĐ	Việt Nam/Tiền Giang	
G2zcpnslALV	Bệnh viện Đa khoa Quốc tế Hải Phòng - Vĩnh Bảo	Việt Nam/Hải Phòng	
G3zXwRB2eDk	Quận 6	Việt Nam/Hồ Chí Minh	
g5r6HiFup5V	Huyện Lạng Giang	Việt Nam/Bắc Giang	
G7gRglRfAJQ	Huyện Tam Nông	Việt Nam/Đồng Tháp	
G93gZP4oLTI	Bệnh viện Đa khoa quốc tế HN - BG	Việt Nam/Bắc Giang	
G9LjjHuW7lJ	Huyện Châu Thành A	Việt Nam/Hậu Giang	
Gap6R675H5b	Chi cục ATVSTP	Việt Nam/Trà Vinh	
GASydnKde8B	Huyện Bát Xát	Việt Nam/Lào Cai	
GB4jRcriINb	Trung tâm Giám định Y khoa	Việt Nam/Đồng Tháp	
GbdkzcHyxZI	Thành phố Hải Dương	Việt Nam/Hải Dương	
GbWrJAzomL2	Bệnh viện An Bình	Việt Nam/Hồ Chí Minh	
GbWUZP0xt2w	Huyện Định Hóa	Việt Nam/Thái Nguyên	
GBYIqNVBiq6	Bệnh viện Hữu nghị Việt - Đức	Việt Nam/Các đơn vị trực thuộc Bộ	
gCcUbKkIdx4	Viện Sốt rét - Ký sinh trùng - Côn trùng TP HCM	Việt Nam/Các đơn vị trực thuộc Bộ	
GCtUr2sHbXp	Bệnh viện Huyết học - Truyền máu	Việt Nam/Cần Thơ	
GCy1ymM9VAd	Bệnh viện Tâm thần kinh	Việt Nam/Gia Lai	
gDaXKFF7r5p	Huyện Quảng Trạch	Việt Nam/Quảng Bình	
GdNULkI3hl1	Huyện Sơn Dương	Việt Nam/Tuyên Quang	
GDWJimmsNSG	Chi cục Dân số - Kế hoạch hoá gia đình 	Việt Nam/Kiên Giang	
gehKxatwuFO	Huyện Bắc Sơn	Việt Nam/Lạng Sơn	
GFDBwyv9jBD	Bệnh viện Sản Nhi	Việt Nam/Hà Nam	
GfvdynbCGJ5	Trung tâm Kiểm soát bệnh tật tỉnh Quảng Trị	Việt Nam/Quảng Trị	
ggLVP3EhKt5	Viện tim	Việt Nam/Hồ Chí Minh	
gh0clbjY4Ji	Bảo hiểm xã hội tỉnh	Việt Nam/Bình Dương	
gH3edXnbLke	Bệnh viện Phụ Nữ	Việt Nam/Đà Nẵng	
GH9EhWZpYDg	Bệnh viện Y học cổ truyền	Việt Nam/Cần Thơ	
GHxD4uiYIf4	Chi cục Dân số Kế hoạch hóa gia đình	Việt Nam/Quảng Trị	
GhZKrB5mCf4	Bệnh viện Đa khoa tỉnh	Việt Nam/Hà Giang	
gIUqd7EbkgO	Viện Kiểm nghiệm an toàn vệ sinh thực phẩm QG	Việt Nam/Các đơn vị trực thuộc Bộ	
GIx7ch45g9w	Trung tâm Pháp y tỉnh Lào Cai	Việt Nam/Lào Cai	
gk9VfhnPdHC	Bệnh viện Sản - Nhi	Việt Nam/Yên Bái	
gKCQy4DSJhT	Bệnh viện Phụ Sản Tâm Phúc	Việt Nam/Hải Phòng	
GKHEYEY9Ol0	Trung tâm Giám định Y khoa	Việt Nam/Sóc Trăng	
gKov35rrB2d	Huyện Quế Phong	Việt Nam/Nghệ An	
GkUec6MwY9p	Bệnh viện đa khoa tỉnh	Việt Nam/Đồng Nai	
gKvdDxF7xhV	Bệnh viện Nguyễn Trãi	Việt Nam/Hồ Chí Minh	
gLAnm9nhYdc	Huyện Sông Lô	Việt Nam/Vĩnh Phúc	
glK6ZPpU1ne	Huyện Châu Thành	Việt Nam/Hậu Giang	
glR3Yq5NFkt	Chi cục An toàn Vệ sinh thực phẩm	Việt Nam/Đồng Nai	
glTysBXTY3E	Huyện Thới Bình	Việt Nam/Cà Mau	
GmEnp6MTSBS	Bệnh viện Y học Cổ truyền tỉnh Cà Mau	Việt Nam/Cà Mau	
GmGu8iSC3hF	Trung tâm Kiểm dịch y tế quốc tế	Việt Nam/Khánh Hòa	
GmtZt4xwyHn	Bệnh viện Tâm thần	Việt Nam/Hà Nam	
GnkFMCveg6e	Bệnh viện Hưng Thịnh	Việt Nam/Lào Cai	
gnVM9ekZeN0	Trung tâm Kiểm nghiệm Thuốc, Mỹ phẩm, Thực phẩm	Việt Nam/Lai Châu	
GnXXyeD8uFY	Phòng Khám Đa Khoa Thái Nguyên	Việt Nam/Thái Nguyên	
gO5qOfX5ima	Bệnh viện Phương Châu Sa Đéc	Việt Nam/Đồng Tháp	
goCfqgvy4Wi	Huyện Diễn Châu	Việt Nam/Nghệ An	
godZ0wW1Grx	Huyện Đắk Glei	Việt Nam/Kon Tum	
gOkGeTq4vJ6	Phòng khám ĐK Long Bình- Trảng Bom	Việt Nam/Đồng Nai	
GowQC00lyyz	Trung tâm Kiểm soát bệnh tật tỉnh Lào Cai	Việt Nam/Lào Cai	
gP5Z2Rnyj3K	Huyện Vân Hồ	Việt Nam/Sơn La	
gPKxOSbYVzd	Thành phố Sa Đéc	Việt Nam/Đồng Tháp	
GPRBjRrRHST	Chi cục An toàn vệ sinh thực phẩm tỉnh Lào Cai	Việt Nam/Lào Cai	
gpXMmJyBv6i	Bệnh viện sản nhi	Việt Nam/Nghệ An	
GqETbz25OJw	Huyện Cư M'gar	Việt Nam/Đắk Lắk	
gQevFYiqdka	Bệnh viện Đa khoa tỉnh	Việt Nam/Vĩnh Phúc	
GqY4ybjWytV	Bệnh viện Đa khoa KV Tháp Mười	Việt Nam/Đồng Tháp	
GRhjj1qo6d2	Trung tâm Pháp y Tâm thần Khu vực TP HCM	Việt Nam/Các đơn vị trực thuộc Bộ	
GsjcVlKS9XU	Trung tâm Giám định Y Khoa	Việt Nam/Thái Nguyên	
gsknQJZl6hr	Huyện Quỳnh Nhai	Việt Nam/Sơn La	
GSmhdOsCcBP	Chi cục Dân số - Kế hoạch hoá gia đình	Việt Nam/Khánh Hòa	
gsmy2ujaTGi	Bệnh viện Mắt Việt Nga	Việt Nam/Quảng Ninh	
GsWh1VRSZmk	Trung tâm Pháp y	Việt Nam/Đắk Nông	
gTh5HsWG2oB	Trung tâm Giám định Y khoa	Việt Nam/Phú Thọ	
gtiiSKJpwfD	Ban Bảo vệ CSSK cán bộ tỉnh ủy Sóc Trăng	Việt Nam/Sóc Trăng	
gtIwzltY4mU	Huyện Nông Cống	Việt Nam/Thanh Hóa	
GTmtMKwVnAu	Viện Dược liệu	Việt Nam/Các đơn vị trực thuộc Bộ	
gtQVS3DOCc4	Viện chiến lược và Chính sách Y tế	Việt Nam/Các đơn vị trực thuộc Bộ	
